time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.51265e-07	2.01501
1	2.51265e-07	5.86229e-07	2.01501
2	5.86229e-07	1.03277e-06	2.03088
3	1.03277e-06	1.62806e-06	89.9945
4	1.62806e-06	2.42164e-06	889.827
5	2.42164e-06	3.47958e-06	2865.79
6	3.47958e-06	4.88991e-06	5242.53
7	4.88991e-06	6.77004e-06	7146.78
8	6.77004e-06	9.27645e-06	8434.03
9	9.27645e-06	1.26178e-05	9403.73
10	1.26178e-05	1.70721e-05	10260
11	1.70721e-05	2.30102e-05	10868.5
12	2.30102e-05	3.09263e-05	10964.8
13	3.09263e-05	4.14794e-05	10432.5
14	4.14794e-05	5.55477e-05	9434.43
15	5.55477e-05	7.43023e-05	8276.74
16	7.43023e-05	9.93041e-05	7190.43
17	9.93041e-05	0.000132634	6230.37
18	0.000132634	0.000177067	5363.45
19	0.000177067	0.0002363	4549.88
20	0.0002363	0.000315265	3765.51
21	0.000315265	0.000420533	3016.71
22	0.000420533	0.000560867	2341.21
23	0.000560867	0.000747947	1779.23
24	0.000747947	0.000997344	1347.31
25	0.000997344	0.00132982	1036.29
26	0.00132982	0.00177304	824.193
27	0.00177304	0.0023639	661.217
28	0.0023639	0.00315159	661.217
29	0.00315159	0.00420165	62.319
30	0.00420165	0.00560151	62.319
31	0.00560151	inf	62.319
