time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.52383e-07	34.2328
1	4.52383e-07	1.04828e-06	34.2328
2	1.04828e-06	1.83324e-06	1719.58
3	1.83324e-06	2.86721e-06	3590.83
4	2.86721e-06	4.22921e-06	4742.56
5	4.22921e-06	6.02331e-06	6630.31
6	6.02331e-06	8.38658e-06	8974.95
7	8.38658e-06	1.14996e-05	11021.9
8	1.14996e-05	1.56002e-05	12339.5
9	1.56002e-05	2.10017e-05	12724.7
10	2.10017e-05	2.81169e-05	12172.7
11	2.81169e-05	3.74893e-05	10968.2
12	3.74893e-05	4.98351e-05	9475.44
13	4.98351e-05	6.60976e-05	7990.84
14	6.60976e-05	8.75194e-05	6706.73
15	8.75194e-05	0.000115737	5676.88
16	0.000115737	0.000152907	4864.05
17	0.000152907	0.000201869	4200.53
18	0.000201869	0.000266364	3607.86
19	0.000266364	0.00035132	3027.54
20	0.00035132	0.000463228	2452.19
21	0.000463228	0.000610639	1918.45
22	0.000610639	0.000804816	1468.22
23	0.000804816	0.00106059	1121.51
24	0.00106059	0.00139752	872.693
25	0.00139752	0.00184133	705.213
26	0.00184133	0.00242595	606.695
27	0.00242595	0.00319603	640.127
28	0.00319603	0.00421041	640.127
29	0.00421041	0.00554661	36.9964
30	0.00554661	0.00730672	36.9964
31	0.00730672	inf	36.9964
