time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.04099e-07	1.24931
1	4.04099e-07	9.42807e-07	1.24931
2	9.42807e-07	1.66096e-06	53.8539
3	1.66096e-06	2.61834e-06	370.481
4	2.61834e-06	3.89462e-06	416.595
5	3.89462e-06	5.59605e-06	859.829
6	5.59605e-06	7.86423e-06	1395.61
7	7.86423e-06	1.0888e-05	1521.92
8	1.0888e-05	1.49189e-05	1859.84
9	1.49189e-05	2.02926e-05	2392.18
10	2.02926e-05	2.74563e-05	2773.32
11	2.74563e-05	3.70063e-05	2942.63
12	3.70063e-05	4.97374e-05	3007.48
13	4.97374e-05	6.67094e-05	3050.9
14	6.67094e-05	8.93349e-05	3109.36
15	8.93349e-05	0.000119497	3185.97
16	0.000119497	0.000159706	3258.47
17	0.000159706	0.00021331	3287.77
18	0.00021331	0.000284769	3239.79
19	0.000284769	0.000380032	3096.74
20	0.000380032	0.000507027	2851.93
21	0.000507027	0.000676325	2509.46
22	0.000676325	0.000902018	2094.76
23	0.000902018	0.00120289	1657.85
24	0.00120289	0.00160398	1255.53
25	0.00160398	0.00213869	925.993
26	0.00213869	0.0028515	678.312
27	0.0028515	0.00380176	436.49
28	0.00380176	0.00506856	436.49
29	0.00506856	0.00675734	41.2774
30	0.00675734	0.00900866	41.2774
31	0.00900866	inf	41.2774
