time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.00096e-07	1.2625
1	4.00096e-07	9.33468e-07	1.2625
2	9.33468e-07	1.64451e-06	374.373
3	1.64451e-06	2.5924e-06	354.917
4	2.5924e-06	3.85605e-06	323.773
5	3.85605e-06	5.54062e-06	797.201
6	5.54062e-06	7.78633e-06	1548.07
7	7.78633e-06	1.07801e-05	1886.36
8	1.07801e-05	1.47711e-05	2171.12
9	1.47711e-05	2.00916e-05	2434.36
10	2.00916e-05	2.71843e-05	2580.02
11	2.71843e-05	3.66397e-05	2723.72
12	3.66397e-05	4.92448e-05	2891.76
13	4.92448e-05	6.60486e-05	3051.07
14	6.60486e-05	8.845e-05	3183.89
15	8.845e-05	0.000118313	3284.78
16	0.000118313	0.000158124	3346.8
17	0.000158124	0.000211197	3352.87
18	0.000211197	0.000281948	3281.8
19	0.000281948	0.000376267	3118.58
20	0.000376267	0.000502004	2857.73
21	0.000502004	0.000669626	2507.42
22	0.000669626	0.000893083	2095.53
23	0.000893083	0.00119097	1668.11
24	0.00119097	0.0015881	1277.09
25	0.0015881	0.0021175	959.883
26	0.0021175	0.00282326	727.784
27	0.00282326	0.0037641	534.864
28	0.0037641	0.00501835	534.864
29	0.00501835	0.0066904	16.7585
30	0.0066904	0.00891942	16.7585
31	0.00891942	inf	16.7585
