time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.43886e-07	1.82774
1	3.43886e-07	8.02322e-07	1.82774
2	8.02322e-07	1.41347e-06	546.572
3	1.41347e-06	2.22819e-06	1135.46
4	2.22819e-06	3.3143e-06	1729.96
5	3.3143e-06	4.7622e-06	2324.27
6	4.7622e-06	6.6924e-06	3381.01
7	6.6924e-06	9.26558e-06	5163.89
8	9.26558e-06	1.26959e-05	7154.36
9	1.26959e-05	1.72689e-05	8384.09
10	1.72689e-05	2.33651e-05	8418.01
11	2.33651e-05	3.14921e-05	7669.23
12	3.14921e-05	4.23262e-05	6735.21
13	4.23262e-05	5.67693e-05	5921.68
14	5.67693e-05	7.60234e-05	5305.16
15	7.60234e-05	0.000101691	4844.87
16	0.000101691	0.000135909	4447.79
17	0.000135909	0.000181525	4036.5
18	0.000181525	0.000242336	3581.61
19	0.000242336	0.000323404	3098.89
20	0.000323404	0.000431476	2622.12
21	0.000431476	0.000575548	2177.82
22	0.000575548	0.000767611	1776.4
23	0.000767611	0.00102365	1418.9
24	0.00102365	0.00136498	1109.14
25	0.00136498	0.00182001	854.484
26	0.00182001	0.00242661	659.349
27	0.00242661	0.00323527	467.209
28	0.00323527	0.00431331	467.209
29	0.00431331	0.00575045	64.5004
30	0.00575045	0.0076663	64.5004
31	0.0076663	inf	64.5004
