time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.42198e-07	51.5588
1	4.42198e-07	1.0317e-06	51.5588
2	1.0317e-06	1.81756e-06	11.001
3	1.81756e-06	2.8652e-06	43.0743
4	2.8652e-06	4.26181e-06	246.552
5	4.26181e-06	6.12365e-06	707.837
6	6.12365e-06	8.60568e-06	1300.49
7	8.60568e-06	1.19145e-05	1741.43
8	1.19145e-05	1.63255e-05	1855.25
9	1.63255e-05	2.22058e-05	1934.61
10	2.22058e-05	3.00449e-05	2063.5
11	3.00449e-05	4.04953e-05	2188.65
12	4.04953e-05	5.44267e-05	2303.82
13	5.44267e-05	7.29989e-05	2425.04
14	7.29989e-05	9.77575e-05	2544.94
15	9.77575e-05	0.000130763	2650.43
16	0.000130763	0.000174764	2734.23
17	0.000174764	0.000233421	2786.77
18	0.000233421	0.000311617	2786.55
19	0.000311617	0.000415861	2701.75
20	0.000415861	0.00055483	2507.98
21	0.00055483	0.00074009	2205.06
22	0.00074009	0.000987061	1822.38
23	0.000987061	0.0013163	1415.03
24	0.0013163	0.00175521	1044.44
25	0.00175521	0.00234033	749.834
26	0.00234033	0.00312035	536.649
27	0.00312035	0.0041602	337.374
28	0.0041602	0.00554643	337.374
29	0.00554643	0.00739443	97.4173
30	0.00739443	0.009858	97.4173
31	0.009858	inf	97.4173
