time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.10532e-07	1.22968
1	4.10532e-07	9.57815e-07	1.22968
2	9.57815e-07	1.6874e-06	102.868
3	1.6874e-06	2.66002e-06	419.064
4	2.66002e-06	3.95662e-06	283.111
5	3.95662e-06	5.68513e-06	442.505
6	5.68513e-06	7.98942e-06	885.705
7	7.98942e-06	1.10613e-05	1300.21
8	1.10613e-05	1.51564e-05	1686.55
9	1.51564e-05	2.06156e-05	2107.36
10	2.06156e-05	2.78934e-05	2471.02
11	2.78934e-05	3.75954e-05	2687.32
12	3.75954e-05	5.05292e-05	2807.71
13	5.05292e-05	6.77714e-05	2903.52
14	6.77714e-05	9.0757e-05	3004.51
15	9.0757e-05	0.000121399	3107.32
16	0.000121399	0.000162249	3192.18
17	0.000162249	0.000216706	3230.89
18	0.000216706	0.000289302	3194.47
19	0.000289302	0.000386081	3060.57
20	0.000386081	0.000515098	2817.64
21	0.000515098	0.000687092	2469.39
22	0.000687092	0.000916377	2043.25
23	0.000916377	0.00122204	1594.1
24	0.00122204	0.00162952	1184.99
25	0.00162952	0.00217273	856.252
26	0.00217273	0.0028969	615.042
27	0.0028969	0.00386228	396.074
28	0.00386228	0.00514925	396.074
29	0.00514925	0.00686491	170.151
30	0.00686491	0.00915207	170.151
31	0.00915207	inf	170.151
