time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.48604e-07	1.5827
1	4.48604e-07	1.03953e-06	1.5827
2	1.03953e-06	1.81792e-06	864.773
3	1.81792e-06	2.84325e-06	2610.1
4	2.84325e-06	4.19387e-06	4064.36
5	4.19387e-06	5.97298e-06	6649.25
6	5.97298e-06	8.3165e-06	9487.35
7	8.3165e-06	1.14035e-05	11722.3
8	1.14035e-05	1.54699e-05	13007.1
9	1.54699e-05	2.08262e-05	13236.1
10	2.08262e-05	2.78819e-05	12524.2
11	2.78819e-05	3.71761e-05	11198.6
12	3.71761e-05	4.94187e-05	9619.15
13	4.94187e-05	6.55453e-05	8071.2
14	6.55453e-05	8.67881e-05	6739.01
15	8.67881e-05	0.00011477	5676.37
16	0.00011477	0.000151629	4853.85
17	0.000151629	0.000200182	4201.01
18	0.000200182	0.000264138	3628.05
19	0.000264138	0.000348385	3066.53
20	0.000348385	0.000459358	2501.38
21	0.000459358	0.000605537	1968.83
22	0.000605537	0.000798091	1516.62
23	0.000798091	0.00105173	1166.38
24	0.00105173	0.00138584	908.273
25	0.00138584	0.00182595	721.969
26	0.00182595	0.00240568	592.171
27	0.00240568	0.00316932	481.845
28	0.00316932	0.00417523	481.845
29	0.00417523	0.00550027	55.1439
30	0.00550027	0.00724567	55.1439
31	0.00724567	inf	55.1439
