time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.46976e-07	6.64953
1	4.46976e-07	1.03576e-06	6.64953
2	1.03576e-06	1.81132e-06	1482.48
3	1.81132e-06	2.83294e-06	3003.72
4	2.83294e-06	4.17866e-06	4181.76
5	4.17866e-06	5.95131e-06	6456.54
6	5.95131e-06	8.28634e-06	9122.39
7	8.28634e-06	1.13621e-05	11351.5
8	1.13621e-05	1.54137e-05	12685.7
9	1.54137e-05	2.07507e-05	12924
10	2.07507e-05	2.77808e-05	12253.1
11	2.77808e-05	3.70412e-05	11028.5
12	3.70412e-05	4.92395e-05	9578.48
13	4.92395e-05	6.53076e-05	8129.44
14	6.53076e-05	8.64733e-05	6837.85
15	8.64733e-05	0.000114354	5774.47
16	0.000114354	0.000151079	4926.37
17	0.000151079	0.000199456	4242.2
18	0.000199456	0.00026318	3648.09
19	0.00026318	0.000347121	3079.34
20	0.000347121	0.000457691	2515.46
21	0.000457691	0.00060334	1985.8
22	0.00060334	0.000795196	1530.33
23	0.000795196	0.00104792	1167.89
24	0.00104792	0.00138082	894.643
25	0.00138082	0.00181932	695.198
26	0.00181932	0.00239695	552.945
27	0.00239695	0.00315783	405.747
28	0.00315783	0.00416009	405.747
29	0.00416009	0.00548032	91.907
30	0.00548032	0.00721939	91.907
31	0.00721939	inf	91.907
