time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.96869e-07	1.27526
1	3.96869e-07	9.25937e-07	1.27526
2	9.25937e-07	1.63124e-06	192.52
3	1.63124e-06	2.57149e-06	752.341
4	2.57149e-06	3.82494e-06	1274.03
5	3.82494e-06	5.49592e-06	2265.1
6	5.49592e-06	7.72352e-06	3885.96
7	7.72352e-06	1.06931e-05	5698.19
8	1.06931e-05	1.4652e-05	7064.44
9	1.4652e-05	1.99295e-05	7532.39
10	1.99295e-05	2.6965e-05	7147.48
11	2.6965e-05	3.63441e-05	6344.59
12	3.63441e-05	4.88475e-05	5513.26
13	4.88475e-05	6.55158e-05	4831.44
14	6.55158e-05	8.77364e-05	4310.7
15	8.77364e-05	0.000117359	3893.98
16	0.000117359	0.000156849	3517.55
17	0.000156849	0.000209493	3144.89
18	0.000209493	0.000279674	2772.23
19	0.000279674	0.000373232	2408.41
20	0.000373232	0.000497955	2060.42
21	0.000497955	0.000664224	1730.56
22	0.000664224	0.000885878	1419.77
23	0.000885878	0.00118137	1133.02
24	0.00118137	0.00157529	882.379
25	0.00157529	0.00210042	679.785
26	0.00210042	0.00280048	529.603
27	0.00280048	0.00373374	390.962
28	0.00373374	0.00497787	390.962
29	0.00497787	0.00663643	94.307
30	0.00663643	0.00884746	94.307
31	0.00884746	inf	94.307
