time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.87444e-07	7.87388
1	3.87444e-07	9.03949e-07	7.87388
2	9.03949e-07	1.5925e-06	511.58
3	1.5925e-06	2.51042e-06	1343.07
4	2.51042e-06	3.73411e-06	2165.94
5	3.73411e-06	5.36541e-06	3200.44
6	5.36541e-06	7.54011e-06	4580.29
7	7.54011e-06	1.04392e-05	6156.2
8	1.04392e-05	1.4304e-05	7487.78
9	1.4304e-05	1.94562e-05	7969.91
10	1.94562e-05	2.63247e-05	7556.79
11	2.63247e-05	3.54811e-05	6687.63
12	3.54811e-05	4.76875e-05	5777
13	4.76875e-05	6.396e-05	5009.09
14	6.396e-05	8.5653e-05	4433.01
15	8.5653e-05	0.000114572	3988.42
16	0.000114572	0.000153124	3597.22
17	0.000153124	0.000204518	3211.16
18	0.000204518	0.000273032	2825.39
19	0.000273032	0.000364369	2451.67
20	0.000364369	0.00048613	2098.07
21	0.00048613	0.00064845	1764.59
22	0.00064845	0.000864841	1448.11
23	0.000864841	0.00115331	1156.19
24	0.00115331	0.00153788	898.635
25	0.00153788	0.00205054	689.008
26	0.00205054	0.00273398	532.157
27	0.00273398	0.00364507	381.275
28	0.00364507	0.00485966	381.275
29	0.00485966	0.00647883	105.713
30	0.00647883	0.00863736	105.713
31	0.00863736	inf	105.713
