time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.47577e-07	1.46202
1	3.47577e-07	8.10935e-07	1.46202
2	8.10935e-07	1.42864e-06	337.928
3	1.42864e-06	2.25211e-06	1707.19
4	2.25211e-06	3.34988e-06	2500.53
5	3.34988e-06	4.81332e-06	2657.03
6	4.81332e-06	6.76425e-06	3436.63
7	6.76425e-06	9.36505e-06	5151.2
8	9.36505e-06	1.28322e-05	7233.51
9	1.28322e-05	1.74543e-05	8529.54
10	1.74543e-05	2.3616e-05	8534.47
11	2.3616e-05	3.18302e-05	7743.44
12	3.18302e-05	4.27806e-05	6770.27
13	4.27806e-05	5.73787e-05	5917.43
14	5.73787e-05	7.68395e-05	5271.89
15	7.68395e-05	0.000102783	4792.75
16	0.000102783	0.000137368	4380.2
17	0.000137368	0.000183474	3956.94
18	0.000183474	0.000244938	3499.62
19	0.000244938	0.000326876	3023.81
20	0.000326876	0.000436108	2556.78
21	0.000436108	0.000581727	2120.62
22	0.000581727	0.000775851	1725.66
23	0.000775851	0.00103464	1373.33
24	0.00103464	0.00137963	1066.26
25	0.00137963	0.00183955	810.251
26	0.00183955	0.00245266	609.65
27	0.00245266	0.00327001	403.355
28	0.00327001	0.00435961	403.355
29	0.00435961	0.00581218	102.074
30	0.00581218	0.0077486	102.074
31	0.0077486	inf	102.074
