time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.45911e-07	5.3572
1	3.45911e-07	8.07046e-07	5.3572
2	8.07046e-07	1.42179e-06	535.763
3	1.42179e-06	2.24131e-06	925.658
4	2.24131e-06	3.33381e-06	1474.17
5	3.33381e-06	4.79024e-06	2053.07
6	4.79024e-06	6.73181e-06	3102.79
7	6.73181e-06	9.32014e-06	4863.23
8	9.32014e-06	1.27706e-05	6855.91
9	1.27706e-05	1.73706e-05	8132.31
10	1.73706e-05	2.35027e-05	8251.46
11	2.35027e-05	3.16775e-05	7584
12	3.16775e-05	4.25755e-05	6685.72
13	4.25755e-05	5.71035e-05	5880.7
14	5.71035e-05	7.6471e-05	5268.59
15	7.6471e-05	0.00010229	4813.57
16	0.00010229	0.000136709	4422.28
17	0.000136709	0.000182594	4017.75
18	0.000182594	0.000243763	3570.23
19	0.000243763	0.000325309	3091.87
20	0.000325309	0.000434017	2614.35
21	0.000434017	0.000578937	2166.96
22	0.000578937	0.000772131	1764.36
23	0.000772131	0.00102968	1408.7
24	0.00102968	0.00137302	1102.48
25	0.00137302	0.00183073	851.123
26	0.00183073	0.0024409	658.374
27	0.0024409	0.00325432	470.287
28	0.00325432	0.00433871	470.287
29	0.00433871	0.00578431	62.6675
30	0.00578431	0.00771145	62.6675
31	0.00771145	inf	62.6675
