time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.54333e-07	1.98529
1	2.54333e-07	5.93387e-07	1.98529
2	5.93387e-07	1.04538e-06	1.98444
3	1.04538e-06	1.64794e-06	50.3272
4	1.64794e-06	2.45121e-06	582.675
5	2.45121e-06	3.52206e-06	1788.78
6	3.52206e-06	4.94961e-06	3590.76
7	4.94961e-06	6.8527e-06	5612.6
8	6.8527e-06	9.38971e-06	7514.46
9	9.38971e-06	1.27718e-05	9099.44
10	1.27718e-05	1.72805e-05	10270.1
11	1.72805e-05	2.32911e-05	10960.7
12	2.32911e-05	3.13039e-05	11032.2
13	3.13039e-05	4.19858e-05	10430.2
14	4.19858e-05	5.62259e-05	9372.37
15	5.62259e-05	7.52095e-05	8183.39
16	7.52095e-05	0.000100517	7086.54
17	0.000100517	0.000134254	6135.47
18	0.000134254	0.000179229	5291.53
19	0.000179229	0.000239186	4502.5
20	0.000239186	0.000319114	3730.17
21	0.000319114	0.000425668	2978.56
22	0.000425668	0.000567715	2297.96
23	0.000567715	0.000757079	1737.85
24	0.000757079	0.00100952	1310.58
25	0.00100952	0.00134605	1002.54
26	0.00134605	0.00179469	791.327
27	0.00179469	0.00239277	606.572
28	0.00239277	0.00319007	606.572
29	0.00319007	0.00425295	67.368
30	0.00425295	0.0056699	67.368
31	0.0056699	inf	67.368
