time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.55084e-07	1.98746
1	2.55084e-07	5.95139e-07	1.98746
2	5.95139e-07	1.04847e-06	1.98511
3	1.04847e-06	1.6528e-06	133.104
4	1.6528e-06	2.45845e-06	1198.37
5	2.45845e-06	3.53246e-06	2493.54
6	3.53246e-06	4.96423e-06	3807.58
7	4.96423e-06	6.87294e-06	5407.99
8	6.87294e-06	9.41744e-06	7176.7
9	9.41744e-06	1.28095e-05	8800.41
10	1.28095e-05	1.73316e-05	10020.3
11	1.73316e-05	2.33599e-05	10714.5
12	2.33599e-05	3.13964e-05	10812.9
13	3.13964e-05	4.21098e-05	10303
14	4.21098e-05	5.63919e-05	9338.84
15	5.63919e-05	7.54316e-05	8181.62
16	7.54316e-05	0.000100813	7061.54
17	0.000100813	0.00013465	6083.35
18	0.00013465	0.000179758	5239.36
19	0.000179758	0.000239892	4468.72
20	0.000239892	0.000320057	3719.29
21	0.000320057	0.000426925	2986.29
22	0.000426925	0.000569391	2313.95
23	0.000569391	0.000759315	1751.24
24	0.000759315	0.0010125	1314.19
25	0.0010125	0.00135003	990.113
26	0.00135003	0.00179999	755.446
27	0.00179999	0.00239983	513.594
28	0.00239983	0.00319949	513.594
29	0.00319949	0.00426551	116.159
30	0.00426551	0.00568664	116.159
31	0.00568664	inf	116.159
