time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.54072e-07	1.98695
1	2.54072e-07	5.92777e-07	1.98695
2	5.92777e-07	1.04431e-06	1.99236
3	1.04431e-06	1.64624e-06	105.181
4	1.64624e-06	2.44869e-06	860.21
5	2.44869e-06	3.51844e-06	1821.14
6	3.51844e-06	4.94453e-06	3082.76
7	4.94453e-06	6.84566e-06	4868.4
8	6.84566e-06	9.38006e-06	6850.31
9	9.38006e-06	1.27587e-05	8675.31
10	1.27587e-05	1.72628e-05	10123.9
11	1.72628e-05	2.32672e-05	11014.7
12	2.32672e-05	3.12717e-05	11144.6
13	3.12717e-05	4.19426e-05	10494.7
14	4.19426e-05	5.61681e-05	9357.49
15	5.61681e-05	7.51322e-05	8114.67
16	7.51322e-05	0.000100413	7003.69
17	0.000100413	0.000134116	6071.07
18	0.000134116	0.000179045	5263.46
19	0.000179045	0.00023894	4507.68
20	0.00023894	0.000318786	3757.58
21	0.000318786	0.00042523	3018.77
22	0.00042523	0.000567131	2337.49
23	0.000567131	0.000756301	1760.79
24	0.000756301	0.00100848	1306.3
25	0.00100848	0.00134467	964.901
26	0.00134467	0.00179284	715.427
27	0.00179284	0.00239031	461.733
28	0.00239031	0.00318679	461.733
29	0.00318679	0.00424858	157.06
30	0.00424858	0.00566407	157.06
31	0.00566407	inf	157.06
