time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.60299e-07	1.94739
1	2.60299e-07	6.07305e-07	1.94739
2	6.07305e-07	1.0699e-06	1.94297
3	1.0699e-06	1.68659e-06	144.677
4	1.68659e-06	2.5087e-06	1122.14
5	2.5087e-06	3.60467e-06	2426.94
6	3.60467e-06	5.06571e-06	4087.28
7	5.06571e-06	7.01343e-06	5904.6
8	7.01343e-06	9.60995e-06	7555.05
9	9.60995e-06	1.30714e-05	8905.7
10	1.30714e-05	1.76859e-05	9919.59
11	1.76859e-05	2.38374e-05	10491.8
12	2.38374e-05	3.20381e-05	10494.8
13	3.20381e-05	4.29706e-05	9905.38
14	4.29706e-05	5.75447e-05	8917.97
15	5.75447e-05	7.69735e-05	7812.08
16	7.69735e-05	0.000102874	6794.4
17	0.000102874	0.000137403	5910.87
18	0.000137403	0.000183433	5115.39
19	0.000183433	0.000244796	4355.7
20	0.000244796	0.000326599	3610.73
21	0.000326599	0.000435652	2896.41
22	0.000435652	0.00058103	2251.56
23	0.00058103	0.000774836	1712.28
24	0.000774836	0.0010332	1291.78
25	0.0010332	0.00137763	980.594
26	0.00137763	0.00183678	758.072
27	0.00183678	0.00244889	541.772
28	0.00244889	0.00326489	541.772
29	0.00326489	0.00435271	90.5884
30	0.00435271	0.00580288	90.5884
31	0.00580288	inf	90.5884
