time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.44704e-07	1.13528
1	4.44704e-07	1.03754e-06	1.13528
2	1.03754e-06	1.82786e-06	1.13496
3	1.82786e-06	2.88143e-06	7.11219
4	2.88143e-06	4.28596e-06	105.762
5	4.28596e-06	6.15835e-06	388.368
6	6.15835e-06	8.65445e-06	896.325
7	8.65445e-06	1.1982e-05	1497.27
8	1.1982e-05	1.6418e-05	1788.53
9	1.6418e-05	2.23317e-05	1925.46
10	2.23317e-05	3.02152e-05	2041.24
11	3.02152e-05	4.07248e-05	2135.63
12	4.07248e-05	5.47352e-05	2239.04
13	5.47352e-05	7.34125e-05	2365.17
14	7.34125e-05	9.83115e-05	2499.01
15	9.83115e-05	0.000131504	2622.39
16	0.000131504	0.000175754	2721.22
17	0.000175754	0.000234744	2780.89
18	0.000234744	0.000313383	2783.65
19	0.000313383	0.000418218	2704.95
20	0.000418218	0.000557974	2522.19
21	0.000557974	0.000744284	2229.55
22	0.000744284	0.000992654	1849.8
23	0.000992654	0.00132376	1438.04
24	0.00132376	0.00176516	1060.56
25	0.00176516	0.00235359	760.765
26	0.00235359	0.00313803	547.764
27	0.00313803	0.00418377	360.441
28	0.00418377	0.00557786	360.441
29	0.00557786	0.00743633	67.2379
30	0.00743633	0.00991387	67.2379
31	0.00991387	inf	67.2379
