time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.01999e-07	1.2556
1	4.01999e-07	9.37907e-07	1.2556
2	9.37907e-07	1.65233e-06	231.706
3	1.65233e-06	2.60473e-06	536.424
4	2.60473e-06	3.87438e-06	280.708
5	3.87438e-06	5.56697e-06	559.268
6	5.56697e-06	7.82336e-06	1247.36
7	7.82336e-06	1.08314e-05	1636.69
8	1.08314e-05	1.48414e-05	2034.19
9	1.48414e-05	2.01871e-05	2529.55
10	2.01871e-05	2.73136e-05	2860.08
11	2.73136e-05	3.6814e-05	2990.13
12	3.6814e-05	4.9479e-05	3030.49
13	4.9479e-05	6.63627e-05	3064.41
14	6.63627e-05	8.88706e-05	3119.48
15	8.88706e-05	0.000118876	3188.56
16	0.000118876	0.000158876	3253.93
17	0.000158876	0.000212201	3286.19
18	0.000212201	0.000283289	3249.64
19	0.000283289	0.000378057	3115.68
20	0.000378057	0.000504392	2871.69
21	0.000504392	0.00067281	2525.15
22	0.00067281	0.00089733	2104.72
23	0.00089733	0.00119664	1660.64
24	0.00119664	0.00159565	1252.17
25	0.00159565	0.00212757	920.208
26	0.00212757	0.00283668	674.045
27	0.00283668	0.00378201	436.83
28	0.00378201	0.00504222	436.83
29	0.00504222	0.00672222	40.9505
30	0.00672222	0.00896184	40.9505
31	0.00896184	inf	40.9505
