time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.49582e-07	1.57494
1	4.49582e-07	1.04179e-06	1.57494
2	1.04179e-06	1.82188e-06	1213.49
3	1.82188e-06	2.84945e-06	3168.13
4	2.84945e-06	4.20302e-06	4547.33
5	4.20302e-06	5.98601e-06	6791.65
6	5.98601e-06	8.33464e-06	9338.57
7	8.33464e-06	1.14284e-05	11420
8	1.14284e-05	1.55036e-05	12629.2
9	1.55036e-05	2.08717e-05	12855.7
10	2.08717e-05	2.79428e-05	12185.7
11	2.79428e-05	3.72571e-05	10950.6
12	3.72571e-05	4.95265e-05	9486.06
13	4.95265e-05	6.56883e-05	8040.74
14	6.56883e-05	8.69774e-05	6775.96
15	8.69774e-05	0.00011502	5738.89
16	0.00011502	0.00015196	4903.85
17	0.00015196	0.000200619	4221.16
18	0.000200619	0.000264714	3623.93
19	0.000264714	0.000349144	3052.25
20	0.000349144	0.000460359	2485.83
21	0.000460359	0.000606857	1952.75
22	0.000606857	0.000799832	1496.96
23	0.000799832	0.00105403	1142.34
24	0.00105403	0.00138886	884.645
25	0.00138886	0.00182993	706.155
26	0.00182993	0.00241092	592.057
27	0.00241092	0.00317623	547.632
28	0.00317623	0.00418434	547.632
29	0.00418434	0.00551226	56.4663
30	0.00551226	0.00726147	56.4663
31	0.00726147	inf	56.4663
