time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.51926e-07	1.56086
1	4.51926e-07	1.04722e-06	1.56086
2	1.04722e-06	1.83138e-06	1080.13
3	1.83138e-06	2.86431e-06	3086.52
4	2.86431e-06	4.22493e-06	4367
5	4.22493e-06	6.01721e-06	6497.83
6	6.01721e-06	8.37809e-06	9024.98
7	8.37809e-06	1.1488e-05	11183.5
8	1.1488e-05	1.55844e-05	12557.4
9	1.55844e-05	2.09805e-05	12891.6
10	2.09805e-05	2.80884e-05	12211
11	2.80884e-05	3.74514e-05	10935.6
12	3.74514e-05	4.97847e-05	9438.27
13	4.97847e-05	6.60307e-05	7991.89
14	6.60307e-05	8.74308e-05	6734.64
15	8.74308e-05	0.00011562	5694.67
16	0.00011562	0.000152752	4860.64
17	0.000152752	0.000201665	4191.14
18	0.000201665	0.000266094	3612.9
19	0.000266094	0.000350964	3055.41
20	0.000350964	0.000462759	2497.06
21	0.000462759	0.000610021	1969.76
22	0.000610021	0.000804001	1517.1
23	0.000804001	0.00105952	1161.31
24	0.00105952	0.00139611	897.475
25	0.00139611	0.00183947	707.115
26	0.00183947	0.00242349	573.591
27	0.00242349	0.00319279	454.472
28	0.00319279	0.00420615	454.472
29	0.00420615	0.005541	66.2637
30	0.005541	0.00729933	66.2637
31	0.00729933	inf	66.2637
