time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.46949e-07	4.52227
1	4.46949e-07	1.03569e-06	4.52227
2	1.03569e-06	1.81121e-06	1376.92
3	1.81121e-06	2.83277e-06	3398.4
4	2.83277e-06	4.17841e-06	4974.41
5	4.17841e-06	5.95095e-06	7038.12
6	5.95095e-06	8.28583e-06	9400.11
7	8.28583e-06	1.13614e-05	11381.1
8	1.13614e-05	1.54128e-05	12600.7
9	1.54128e-05	2.07494e-05	12865.2
10	2.07494e-05	2.77791e-05	12226.1
11	2.77791e-05	3.7039e-05	11014.2
12	3.7039e-05	4.92365e-05	9554.93
13	4.92365e-05	6.53036e-05	8099.02
14	6.53036e-05	8.6468e-05	6810.08
15	8.6468e-05	0.000114347	5751.02
16	0.000114347	0.00015107	4913.56
17	0.00015107	0.000199444	4242.08
18	0.000199444	0.000263164	3656.48
19	0.000263164	0.0003471	3088.72
20	0.0003471	0.000457664	2519.35
21	0.000457664	0.000603304	1982.23
22	0.000603304	0.000795148	1522.39
23	0.000795148	0.00104785	1162.55
24	0.00104785	0.00138073	899.633
25	0.00138073	0.00181921	716.799
26	0.00181921	0.0023968	598.523
27	0.0023968	0.00315763	538.339
28	0.00315763	0.00415983	538.339
29	0.00415983	0.00547998	51.6949
30	0.00547998	0.00721895	51.6949
31	0.00721895	inf	51.6949
