time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.96216e-07	1.27421
1	3.96216e-07	9.24413e-07	1.27421
2	9.24413e-07	1.62856e-06	219.315
3	1.62856e-06	2.56726e-06	873.478
4	2.56726e-06	3.81864e-06	1606.31
5	3.81864e-06	5.48687e-06	2670.21
6	5.48687e-06	7.7108e-06	4225.85
7	7.7108e-06	1.06755e-05	6028.29
8	1.06755e-05	1.46279e-05	7394.55
9	1.46279e-05	1.98967e-05	7729.72
10	1.98967e-05	2.69207e-05	7206.72
11	2.69207e-05	3.62843e-05	6351.04
12	3.62843e-05	4.87671e-05	5529.34
13	4.87671e-05	6.5408e-05	4864.84
14	6.5408e-05	8.7592e-05	4350.14
15	8.7592e-05	0.000117166	3929.24
16	0.000117166	0.000156591	3540.06
17	0.000156591	0.000209148	3152.58
18	0.000209148	0.000279213	2768.34
19	0.000279213	0.000372617	2398.3
20	0.000372617	0.000497135	2049.82
21	0.000497135	0.00066313	1722.42
22	0.00066313	0.00088442	1412.91
23	0.00088442	0.00117942	1124.29
24	0.00117942	0.00157269	868.419
25	0.00157269	0.00209696	657.732
26	0.00209696	0.00279587	497.747
27	0.00279587	0.00372759	346.123
28	0.00372759	0.00496968	346.123
29	0.00496968	0.00662551	118.018
30	0.00662551	0.0088329	118.018
31	0.0088329	inf	118.018
