time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.95733e-07	1.27832
1	3.95733e-07	9.23287e-07	1.27832
2	9.23287e-07	1.62657e-06	204.865
3	1.62657e-06	2.56413e-06	789.642
4	2.56413e-06	3.81399e-06	1275.38
5	3.81399e-06	5.48019e-06	2184.59
6	5.48019e-06	7.70141e-06	3753.44
7	7.70141e-06	1.06625e-05	5544.88
8	1.06625e-05	1.461e-05	6901.44
9	1.461e-05	1.98725e-05	7387.97
10	1.98725e-05	2.68879e-05	7067.47
11	2.68879e-05	3.62401e-05	6331.65
12	3.62401e-05	4.87077e-05	5535.69
13	4.87077e-05	6.53283e-05	4863.45
14	6.53283e-05	8.74853e-05	4345.92
15	8.74853e-05	0.000117023	3925.5
16	0.000117023	0.0001564	3536.66
17	0.0001564	0.000208894	3150.78
18	0.000208894	0.000278873	2773.01
19	0.000278873	0.000372163	2413.92
20	0.000372163	0.000496529	2073.52
21	0.000496529	0.000662323	1746.19
22	0.000662323	0.000883342	1430.84
23	0.000883342	0.00117799	1135.55
24	0.00117799	0.00157078	875.403
25	0.00157078	0.00209441	663.995
26	0.00209441	0.00279247	506.779
27	0.00279247	0.00372305	357.794
28	0.00372305	0.00496362	357.794
29	0.00496362	0.00661743	111.837
30	0.00661743	0.00882214	111.837
31	0.00882214	inf	111.837
