time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.97042e-07	1.27553
1	3.97042e-07	9.26341e-07	1.27553
2	9.26341e-07	1.63195e-06	261.799
3	1.63195e-06	2.57261e-06	1048.14
4	2.57261e-06	3.82661e-06	1952.81
5	3.82661e-06	5.49832e-06	3133.43
6	5.49832e-06	7.72689e-06	4614.82
7	7.72689e-06	1.06978e-05	6183.44
8	1.06978e-05	1.46584e-05	7336.54
9	1.46584e-05	1.99382e-05	7607.8
10	1.99382e-05	2.69768e-05	7120.09
11	2.69768e-05	3.636e-05	6310.69
12	3.636e-05	4.88688e-05	5523.29
13	4.88688e-05	6.55444e-05	4884.59
14	6.55444e-05	8.77747e-05	4378.06
15	8.77747e-05	0.00011741	3945.73
16	0.00011741	0.000156917	3537.65
17	0.000156917	0.000209585	3137.31
18	0.000209585	0.000279796	2752.12
19	0.000279796	0.000373395	2389.37
20	0.000373395	0.000498172	2046.91
21	0.000498172	0.000664513	1719.76
22	0.000664513	0.000886264	1408.54
23	0.000886264	0.00118188	1122.16
24	0.00118188	0.00157597	875.054
25	0.00157597	0.00210134	679.775
26	0.00210134	0.0028017	540.328
27	0.0028017	0.00373537	423.092
28	0.00373537	0.00498004	423.092
29	0.00498004	0.00663932	74.8111
30	0.00663932	0.00885132	74.8111
31	0.00885132	inf	74.8111
