time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.04254e-07	1.25189
1	4.04254e-07	9.43168e-07	1.25189
2	9.43168e-07	1.6616e-06	274.012
3	1.6616e-06	2.61934e-06	422.537
4	2.61934e-06	3.89612e-06	201.834
5	3.89612e-06	5.59819e-06	368.217
6	5.59819e-06	7.86724e-06	898.662
7	7.86724e-06	1.08921e-05	1518.31
8	1.08921e-05	1.49246e-05	2083.25
9	1.49246e-05	2.03004e-05	2528.61
10	2.03004e-05	2.74668e-05	2764.15
11	2.74668e-05	3.70205e-05	2869.66
12	3.70205e-05	4.97565e-05	2938.14
13	4.97565e-05	6.6735e-05	3012.39
14	6.6735e-05	8.93691e-05	3104.59
15	8.93691e-05	0.000119543	3199.71
16	0.000119543	0.000159768	3268.02
17	0.000159768	0.000213392	3280.18
18	0.000213392	0.000284878	3216.3
19	0.000284878	0.000380177	3065.46
20	0.000380177	0.000507221	2819.69
21	0.000507221	0.000676584	2480.68
22	0.000676584	0.000902363	2072.76
23	0.000902363	0.00120335	1643.28
24	0.00120335	0.0016046	1247
25	0.0016046	0.00213951	922.078
26	0.00213951	0.0028526	677.199
27	0.0028526	0.00380322	431.482
28	0.00380322	0.0050705	431.482
29	0.0050705	0.00675993	39.7612
30	0.00675993	0.00901211	39.7612
31	0.00901211	inf	39.7612
