time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.53098e-07	1.99581
1	2.53098e-07	5.90506e-07	1.99581
2	5.90506e-07	1.04031e-06	1.99783
3	1.04031e-06	1.63994e-06	87.4442
4	1.63994e-06	2.43931e-06	807.351
5	2.43931e-06	3.50496e-06	1936.96
6	3.50496e-06	4.92558e-06	3866.26
7	4.92558e-06	6.81943e-06	6259.81
8	6.81943e-06	9.34412e-06	8174.4
9	9.34412e-06	1.27098e-05	9461.03
10	1.27098e-05	1.71966e-05	10349.4
11	1.71966e-05	2.31781e-05	10877
12	2.31781e-05	3.11519e-05	10876.1
13	3.11519e-05	4.17819e-05	10279.4
14	4.17819e-05	5.59529e-05	9254.91
15	5.59529e-05	7.48443e-05	8094.75
16	7.48443e-05	0.000100029	7020.57
17	0.000100029	0.000133602	6093.29
18	0.000133602	0.000178359	5275.35
19	0.000178359	0.000238024	4511.17
20	0.000238024	0.000317565	3763.97
21	0.000317565	0.000423601	3031.81
22	0.000423601	0.000564958	2354.75
23	0.000564958	0.000753403	1782.13
24	0.000753403	0.00100462	1333.07
25	0.00100462	0.00133952	998.526
26	0.00133952	0.00178597	758.143
27	0.00178597	0.00238115	520.563
28	0.00238115	0.00317458	520.563
29	0.00317458	0.0042323	115.025
30	0.0042323	0.00564237	115.025
31	0.00564237	inf	115.025
