time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.55281e-07	1.98016
1	2.55281e-07	5.95598e-07	1.98016
2	5.95598e-07	1.04928e-06	1.97835
3	1.04928e-06	1.65408e-06	166.108
4	1.65408e-06	2.46035e-06	1395.2
5	2.46035e-06	3.53519e-06	2965.08
6	3.53519e-06	4.96806e-06	4821.86
7	4.96806e-06	6.87824e-06	6705.64
8	6.87824e-06	9.42471e-06	8140.67
9	9.42471e-06	1.28194e-05	9238.86
10	1.28194e-05	1.7345e-05	10134
11	1.7345e-05	2.3378e-05	10721.3
12	2.3378e-05	3.14206e-05	10775.6
13	3.14206e-05	4.21423e-05	10204.5
14	4.21423e-05	5.64355e-05	9179.1
15	5.64355e-05	7.54898e-05	8004.66
16	7.54898e-05	0.000100891	6925.7
17	0.000100891	0.000134754	6011.15
18	0.000134754	0.000179897	5206.34
19	0.000179897	0.000240077	4441.69
20	0.000240077	0.000320304	3692.34
21	0.000320304	0.000427254	2969.47
22	0.000427254	0.000569831	2307.47
23	0.000569831	0.000759901	1747.65
24	0.000759901	0.00101328	1311.95
25	0.00101328	0.00135107	994.481
26	0.00135107	0.00180138	773.431
27	0.00180138	0.00240168	570.312
28	0.00240168	0.00320196	570.312
29	0.00320196	0.00426881	97.4988
30	0.00426881	0.00569103	97.4988
31	0.00569103	inf	97.4988
