time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.55948e-07	1.97203
1	2.55948e-07	5.97154e-07	1.97203
2	5.97154e-07	1.05202e-06	1.98247
3	1.05202e-06	1.6584e-06	104.285
4	1.6584e-06	2.46677e-06	975.72
5	2.46677e-06	3.54442e-06	2574.13
6	3.54442e-06	4.98104e-06	4274.67
7	4.98104e-06	6.89621e-06	5856.37
8	6.89621e-06	9.44933e-06	7328.47
9	9.44933e-06	1.28529e-05	8684.46
10	1.28529e-05	1.73903e-05	9853.87
11	1.73903e-05	2.3439e-05	10614.8
12	2.3439e-05	3.15027e-05	10752.5
13	3.15027e-05	4.22524e-05	10227.9
14	4.22524e-05	5.65829e-05	9232.03
15	5.65829e-05	7.5687e-05	8069.72
16	7.5687e-05	0.000101155	6979.01
17	0.000101155	0.000135106	6047.14
18	0.000135106	0.000180367	5233.41
19	0.000180367	0.000240704	4463.46
20	0.000240704	0.00032114	3704.53
21	0.00032114	0.00042837	2971.25
22	0.00042837	0.000571319	2306.1
23	0.000571319	0.000761886	1744.05
24	0.000761886	0.00101593	1296.33
25	0.00101593	0.0013546	956.68
26	0.0013546	0.00180608	708.321
27	0.00180608	0.00240796	462.207
28	0.00240796	0.00321032	462.207
29	0.00321032	0.00427996	133.886
30	0.00427996	0.0057059	133.886
31	0.0057059	inf	133.886
