time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.56345e-07	1.96912
1	2.56345e-07	5.98081e-07	1.96912
2	5.98081e-07	1.05365e-06	1.97256
3	1.05365e-06	1.66097e-06	254.245
4	1.66097e-06	2.4706e-06	1599.69
5	2.4706e-06	3.54992e-06	2937.41
6	3.54992e-06	4.98877e-06	4413.81
7	4.98877e-06	6.90691e-06	6164.78
8	6.90691e-06	9.46399e-06	7860.77
9	9.46399e-06	1.28729e-05	9325.46
10	1.28729e-05	1.74172e-05	10443.2
11	1.74172e-05	2.34754e-05	11044.3
12	2.34754e-05	3.15515e-05	10985.4
13	3.15515e-05	4.23179e-05	10283
14	4.23179e-05	5.66707e-05	9173.87
15	5.66707e-05	7.58044e-05	7974.01
16	7.58044e-05	0.000101312	6893.95
17	0.000101312	0.000135316	5976.33
18	0.000135316	0.000180647	5168
19	0.000180647	0.000241078	4402.44
20	0.000241078	0.000321639	3652.6
21	0.000321639	0.000429035	2931.57
22	0.000429035	0.000572206	2279.63
23	0.000572206	0.000763068	1734.58
24	0.000763068	0.00101751	1310.53
25	0.00101751	0.0013567	1000.85
26	0.0013567	0.00180889	786.958
27	0.00180889	0.00241169	598.757
28	0.00241169	0.0032153	598.757
29	0.0032153	0.0042866	75.9194
30	0.0042866	0.00571475	75.9194
31	0.00571475	inf	75.9194
