time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.44616e-07	1.13709
1	4.44616e-07	1.03734e-06	1.13709
2	1.03734e-06	1.8275e-06	10.8798
3	1.8275e-06	2.88087e-06	18.5663
4	2.88087e-06	4.28512e-06	75.3665
5	4.28512e-06	6.15714e-06	300.692
6	6.15714e-06	8.65274e-06	846.222
7	8.65274e-06	1.19796e-05	1389.24
8	1.19796e-05	1.64148e-05	1462.34
9	1.64148e-05	2.23272e-05	1538.05
10	2.23272e-05	3.02092e-05	1781.2
11	3.02092e-05	4.07167e-05	2039.21
12	4.07167e-05	5.47244e-05	2252.33
13	5.47244e-05	7.33981e-05	2438.94
14	7.33981e-05	9.82921e-05	2604.03
15	9.82921e-05	0.000131478	2731.37
16	0.000131478	0.000175719	2810.39
17	0.000175719	0.000234697	2838.38
18	0.000234697	0.000313321	2809.05
19	0.000313321	0.000418135	2705
20	0.000418135	0.000557864	2504.49
21	0.000557864	0.000744137	2202.11
22	0.000744137	0.000992459	1822.59
23	0.000992459	0.0013235	1416.88
24	0.0013235	0.00176481	1044.49
25	0.00176481	0.00235312	747.222
26	0.00235312	0.00313741	533.912
27	0.00313741	0.00418295	340.758
28	0.00418295	0.00557676	340.758
29	0.00557676	0.00743486	91.0672
30	0.00743486	0.00991191	91.0672
31	0.00991191	inf	91.0672
