time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.44923e-07	21.5318
1	4.44923e-07	1.03805e-06	21.5318
2	1.03805e-06	1.82876e-06	51.845
3	1.82876e-06	2.88285e-06	49.612
4	2.88285e-06	4.28807e-06	152.071
5	4.28807e-06	6.16138e-06	440.108
6	6.16138e-06	8.6587e-06	977.332
7	8.6587e-06	1.19879e-05	1548.3
8	1.19879e-05	1.64261e-05	1731.24
9	1.64261e-05	2.23426e-05	1797.18
10	2.23426e-05	3.023e-05	1926.98
11	3.023e-05	4.07448e-05	2069.42
12	4.07448e-05	5.47621e-05	2238.79
13	5.47621e-05	7.34486e-05	2437.53
14	7.34486e-05	9.83598e-05	2626.09
15	9.83598e-05	0.000131569	2764.46
16	0.000131569	0.00017584	2839.08
17	0.00017584	0.000234859	2853.31
18	0.000234859	0.000313537	2806.32
19	0.000313537	0.000418423	2682.44
20	0.000418423	0.000558248	2467.08
21	0.000558248	0.000744649	2163.8
22	0.000744649	0.000993142	1796.73
23	0.000993142	0.00132441	1410.38
24	0.00132441	0.00176602	1059.17
25	0.00176602	0.00235474	780.526
26	0.00235474	0.00313957	581.895
27	0.00313957	0.00418583	406.923
28	0.00418583	0.0055806	406.923
29	0.0055806	0.00743998	46.5154
30	0.00743998	0.00991874	46.5154
31	0.00991874	inf	46.5154
