time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.49514e-07	1.12286
1	4.49514e-07	1.04876e-06	1.12286
2	1.04876e-06	1.84763e-06	4.61084
3	1.84763e-06	2.9126e-06	26.4237
4	2.9126e-06	4.33232e-06	159.38
5	4.33232e-06	6.22496e-06	483.77
6	6.22496e-06	8.74805e-06	984.302
7	8.74805e-06	1.21116e-05	1438.25
8	1.21116e-05	1.65956e-05	1538.21
9	1.65956e-05	2.25732e-05	1675.66
10	2.25732e-05	3.0542e-05	1905.83
11	3.0542e-05	4.11653e-05	2067.96
12	4.11653e-05	5.53272e-05	2203.31
13	5.53272e-05	7.42066e-05	2363.28
14	7.42066e-05	9.93748e-05	2532.51
15	9.93748e-05	0.000132927	2674.03
16	0.000132927	0.000177655	2765.45
17	0.000177655	0.000237283	2798.59
18	0.000237283	0.000316773	2766.84
19	0.000316773	0.000422741	2656.55
20	0.000422741	0.000564009	2453.55
21	0.000564009	0.000752334	2157.04
22	0.000752334	0.00100339	1790.52
23	0.00100339	0.00133808	1402.84
24	0.00133808	0.00178425	1051.56
25	0.00178425	0.00237904	775.287
26	0.00237904	0.00317197	581.973
27	0.00317197	0.00422902	422.825
28	0.00422902	0.00563819	422.825
29	0.00563819	0.00751676	35.5548
30	0.00751676	0.0100211	35.5548
31	0.0100211	inf	35.5548
